ability,item,moves
ToxicDebris,FocusSash,StealthRock SludgeWave PowerGem EnergyBall 
Illusion,FocusSash,NastyPlot ShadowBall GrassKnot FocusBlast 
SupremeOverlord,LumBerry,SuckerPunch IronHead KowtowCleave SwordsDance 
WeakArmor,FocusSash,SwordsDance ShadowSneak BitterBlade DestinyBond 
Protosynthesis,AssaultVest,HeadlongRush IceSpinner KnockOff RapidSpin 
Protosynthesis,BoosterEnergy,DragonDance Acrobatics Earthquake Crunch 
Multiscale,HeavyDutyBoots,ExtremeSpeed Earthquake DragonDance Outrage 
Overgrow,FocusSash,Spikes Taunt KnockOff LeafStorm 
QuarkDrive,BoosterEnergy,CalmMind Moonblast ShadowBall Psyshock 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
Illusion,FocusSash,ShadowBall Flamethrower NastyPlot GrassKnot 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
Overgrow,FocusSash,Spikes Taunt KnockOff LeafStorm 
QuarkDrive,BoosterEnergy,CalmMind Moonblast AuraSphere Psyshock 
SupremeOverlord,LumBerry,SwordsDance IronHead KowtowCleave SuckerPunch 
QuarkDrive,BoosterEnergy,FieryDance DazzlingGleam Psychic SludgeWave 
Protosynthesis,BoosterEnergy,DragonDance Crunch Taunt Acrobatics 
Protosynthesis,BoosterEnergy,DragonDance Acrobatics Earthquake Crunch 
Multiscale,SilkScarf,Earthquake ExtremeSpeed DragonDance Encore 
Overgrow,FocusSash,Spikes Taunt KnockOff LeafStorm 
QuarkDrive,BoosterEnergy,CalmMind Moonblast ShadowBall Psyshock 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
Illusion,FocusSash,ShadowBall Flamethrower NastyPlot GrassKnot 
SupremeOverlord,HeavyDutyBoots,LowKick KowtowCleave SuckerPunch IronHead 
ThermalExchange,HeavyDutyBoots,SwordsDance IceShard Earthquake GlaiveRush 
PurifyingSalt,Leftovers,SaltCure Curse Recover Earthquake 
VesselofRuin,Leftovers,StealthRock Spikes Whirlwind Ruination 
Infiltrator,HeavyDutyBoots,Hex DracoMeteor Uturn WillOWisp 
Regenerator,HeavyDutyBoots,SludgeBomb GrassKnot Spore FoulPlay 
Levitate,Leftovers,NastyPlot DarkPulse DracoMeteor FlashCannon 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
SwordofRuin,HeavyDutyBoots,IcicleCrash Crunch IceShard SacredSword 
Unaware,Leftovers,TorchSong ShadowBall Substitute SlackOff 
Regenerator,RockyHelmet,Surf ToxicSpikes Toxic Recover 
GoodasGold,CovertCloak,ShadowBall MakeItRain NastyPlot Recover 
Levitate,Leftovers,NastyPlot DarkPulse DracoMeteor FlashCannon 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
SwordofRuin,ChoiceBand,IcicleCrash Crunch IceShard SacredSword 
Unaware,Leftovers,TorchSong ShadowBall Substitute SlackOff 
Regenerator,RockyHelmet,Surf ToxicSpikes Toxic Recover 
GoodasGold,CovertCloak,ShadowBall MakeItRain NastyPlot Recover 
SupremeOverlord,LumBerry,SwordsDance LowKick KowtowCleave SuckerPunch 
Protosynthesis,BoosterEnergy,DragonDance Crunch Taunt Acrobatics 
EarthEater,SitrusBerry,Spikes ShedTail BodyPress IronHead 
ToxicDebris,FocusSash,DazzlingGleam EarthPower MortalSpin StealthRock 
FlameBody,HeavyDutyBoots,QuiverDance Flamethrower TeraBlast MorningSun 
QuarkDrive,BoosterEnergy,CalmMind Moonblast ShadowBall Psyshock 
GoodasGold,ChoiceScarf,MakeItRain ShadowBall Recover Trick 
SwordofRuin,ChoiceBand,Crunch SuckerPunch IcicleCrash SacredSword 
Levitate,Leftovers,DarkPulse DracoMeteor FlashCannon NastyPlot 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
FlameBody,HeavyDutyBoots,FieryDance WillOWisp QuiverDance MorningSun 
Regenerator,CovertCloak,Infestation Toxic Haze Recover 
Regenerator,HeavyDutyBoots,FutureSight Surf ChillyReception SlackOff 
SupremeOverlord,Leftovers,SwordsDance KowtowCleave IronHead SuckerPunch 
Multiscale,ChoiceBand,Outrage ExtremeSpeed Earthquake FirePunch 
QuarkDrive,ChoiceScarf,Moonblast CloseCombat KnockOff Trick 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
ThermalExchange,HeavyDutyBoots,SwordsDance GlaiveRush Earthquake IceShard 
Infiltrator,Leftovers,WillOWisp Hex DragonDarts Substitute 
Levitate,Leftovers,Discharge HydroPump TeraBlast NastyPlot 
VesselofRuin,Leftovers,Ruination Spikes Whirlwind Earthquake 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Protosynthesis,ChoiceSpecs,HydroSteam Flamethrower DracoMeteor DragonPulse 
Protosynthesis,Leftovers,StealthRock Earthquake RapidSpin KnockOff 
Multiscale,ChoiceBand,Outrage ExtremeSpeed Earthquake FirePunch 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
Regenerator,RedCard,SludgeBomb GigaDrain FoulPlay Spore 
ThermalExchange,ChoiceScarf,GlaiveRush IcicleCrash Earthquake IcicleSpear 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Infiltrator,Leftovers,Substitute DragonDarts Hex WillOWisp 
Protosynthesis,WiseGlasses,StealthRock EarthPower TeraBlast VoltSwitch 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin BodyPress 
Levitate,Leftovers,VoltSwitch HydroPump ThunderWave Protect 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Illusion,ChoiceSpecs,HyperVoice ShadowBall FocusBlast GrassKnot 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Regenerator,HeavyDutyBoots,ThunderWave ChillyReception Surf SlackOff 
Libero,HeavyDutyBoots,PyroBall Uturn SuckerPunch CourtChange 
Infiltrator,HeavyDutyBoots,WillOWisp Hex DragonDarts Uturn 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
ThermalExchange,ChoiceBand,GlaiveRush IcicleCrash Earthquake IceShard 
Pressure,Leftovers,BodyPress Uturn BraveBird Roost 
Unaware,HeavyDutyBoots,TorchSong ShadowBall EarthPower SlackOff 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Levitate,Leftovers,NastyPlot Substitute DarkPulse EarthPower 
Regenerator,RedCard,Spore GrassKnot SludgeBomb FoulPlay 
Infiltrator,HeavyDutyBoots,WillOWisp Hex DragonDarts Uturn 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Regenerator,RedCard,GigaDrain SludgeBomb FoulPlay Spore 
Protosynthesis,EjectPack,HeadlongRush StealthRock RapidSpin CloseCombat 
QuarkDrive,ExpertBelt,Encore KnockOff Moonblast CloseCombat 
VesselofRuin,Leftovers,Earthquake Whirlwind Ruination Spikes 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
ThermalExchange,LoadedDice,DragonDance IcicleSpear FocusEnergy Earthquake 
Disguise,LifeOrb,SwordsDance ShadowClaw PlayRough ShadowSneak 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
QuarkDrive,BoosterEnergy,Moonblast Psyshock CalmMind Taunt 
Protosynthesis,BoosterEnergy,DragonDance Crunch Earthquake Acrobatics 
Overgrow,FocusSash,Spikes Taunt KnockOff LeafStorm 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Encore 
Illusion,LifeOrb,ShadowBall HyperBeam GrassKnot LowKick 
Protosynthesis,EjectPack,HeadlongRush CloseCombat RapidSpin StealthRock 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
MagicBounce,Leftovers,CalmMind DrainingKiss StoredPower Substitute 
SupremeOverlord,AirBalloon,KowtowCleave IronHead SuckerPunch SwordsDance 
ThermalExchange,LoadedDice,DragonDance IcicleSpear TeraBlast GlaiveRush 
Disguise,LifeOrb,SwordsDance ShadowClaw PlayRough ShadowSneak 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
QuarkDrive,BoosterEnergy,Moonblast Psyshock CalmMind Taunt 
Protosynthesis,BoosterEnergy,DragonDance Crunch Earthquake Acrobatics 
Overgrow,FocusSash,Spikes Taunt KnockOff LeafStorm 
Overgrow,HeavyDutyBoots,KnockOff Spikes Uturn FlowerTrick 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Protosynthesis,Leftovers,Roar HydroSteam Substitute DragonBreath 
GoodasGold,AirBalloon,NastyPlot ShadowBall MakeItRain Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Multiscale,ChoiceBand,Outrage ExtremeSpeed Earthquake FirePunch 
Drizzle,ChoiceSpecs,IceBeam Hurricane Surf Uturn 
SwiftSwim,ChoiceBand,WaveCrash IceSpinner Liquidation AquaJet 
Protosynthesis,Leftovers,Earthquake RapidSpin KnockOff StealthRock 
Infiltrator,ChoiceSpecs,DracoMeteor ShadowBall Thunder Uturn 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Regenerator,EjectButton,FoulPlay Spore GigaDrain SludgeBomb 
Levitate,Leftovers,HydroPump VoltSwitch Protect ThunderWave 
Unaware,HeavyDutyBoots,TorchSong ShadowBall Substitute SlackOff 
Protean,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
Infiltrator,HeavyDutyBoots,WillOWisp Hex DracoMeteor Uturn 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
SupremeOverlord,Leftovers,KowtowCleave SuckerPunch IronHead SwordsDance 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
EarthEater,SitrusBerry,Spikes ShedTail BodyPress IronHead 
QuarkDrive,BoosterEnergy,SpiritBreak KnockOff SwordsDance Encore 
FlameBody,HeavyDutyBoots,QuiverDance Psychic GigaDrain Flamethrower 
QuarkDrive,LoadedDice,DragonDance Earthquake TeraBlast RockBlast 
Protosynthesis,BoosterEnergy,HeadlongRush KnockOff RapidSpin StealthRock 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Encore 
Regenerator,RedCard,Surf Toxic Haze Recover 
QuarkDrive,WiseGlasses,Moonblast Encore ShadowBall Psyshock 
FlameBody,HeavyDutyBoots,FieryDance GigaDrain QuiverDance MorningSun 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
Protosynthesis,ChoiceBand,Crunch DragonClaw Earthquake Uturn 
QuarkDrive,ChoiceBand,SpiritBreak CloseCombat KnockOff ZenHeadbutt 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
MagicBounce,Leftovers,Substitute CalmMind StoredPower DrainingKiss 
Regenerator,RedCard,Surf Haze Toxic Recover 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Protean,ChoiceSpecs,HydroPump IceBeam DarkPulse Spikes 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
FlameBody,HeavyDutyBoots,QuiverDance Flamethrower TeraBlast MorningSun 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
Regenerator,RedCard,Surf Recover Toxic Haze 
Drizzle,DampRock,Roost Surf Uturn Hurricane 
SwiftSwim,ChoiceBand,WaveCrash IceSpinner Liquidation AquaJet 
Protosynthesis,Leftovers,Earthquake RapidSpin KnockOff StealthRock 
Protosynthesis,BoosterEnergy,HydroPump HydroSteam DracoMeteor Hurricane 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Regenerator,EjectButton,FoulPlay Spore GigaDrain SludgeBomb 
Overgrow,HeavyDutyBoots,KnockOff Spikes Uturn FlowerTrick 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Protosynthesis,Leftovers,Roar HydroSteam Substitute DragonBreath 
GoodasGold,AirBalloon,NastyPlot ShadowBall MakeItRain Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
QuarkDrive,ChoiceScarf,Moonblast CloseCombat KnockOff Trick 
EarthEater,SitrusBerry,Spikes ShedTail IronHead BodyPress 
QuarkDrive,BoosterEnergy,Hurricane Flamethrower DarkPulse Taunt 
Infiltrator,Leftovers,DragonDance DragonDarts PhantomForce TeraBlast 
SupremeOverlord,LumBerry,SwordsDance IronHead KowtowCleave SuckerPunch 
FlameBody,HeavyDutyBoots,QuiverDance BugBuzz Flamethrower GigaDrain 
ToxicDebris,FocusSash,StealthRock EarthPower DazzlingGleam MortalSpin 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
QuarkDrive,BoosterEnergy,Moonblast CalmMind Taunt Psyshock 
GoodasGold,CovertCloak,ShadowBall MakeItRain NastyPlot Recover 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Roost 
VesselofRuin,Leftovers,Ruination Spikes Whirlwind Earthquake 
Levitate,Leftovers,ThunderWave HydroPump VoltSwitch Protect 
Infiltrator,Leftovers,WillOWisp Hex DragonDarts Substitute 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Regenerator,RedCard,FutureSight Surf SlackOff ChillyReception 
ThermalExchange,HeavyDutyBoots,SwordsDance IceShard GlaiveRush Earthquake 
FlameBody,HeavyDutyBoots,FieryDance GigaDrain QuiverDance MorningSun 
SupremeOverlord,Leftovers,KowtowCleave SuckerPunch IronHead SwordsDance 
MagicBounce,Leftovers,CalmMind DrainingKiss StoredPower Substitute 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Encore 
Illusion,ChoiceSpecs,HyperVoice ShadowBall FocusBlast GrassKnot 
Protosynthesis,EjectPack,HeadlongRush CloseCombat RapidSpin StealthRock 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
SupremeOverlord,BlackGlasses,SwordsDance IronHead KowtowCleave SuckerPunch 
Drizzle,DampRock,Hurricane Surf Roost Uturn 
SwiftSwim,ChoiceBand,WaveCrash IceSpinner Liquidation AquaJet 
Protosynthesis,Leftovers,Earthquake RapidSpin KnockOff StealthRock 
Infiltrator,ChoiceSpecs,DracoMeteor ShadowBall Thunder Uturn 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Regenerator,EjectButton,FoulPlay Spore GigaDrain SludgeBomb 
ThermalExchange,HeavyDutyBoots,SwordsDance GlaiveRush Earthquake IceShard 
GoodasGold,ChoiceSpecs,ShadowBall MakeItRain PowerGem Thunderbolt 
Protosynthesis,EjectPack,HeadlongRush CloseCombat RapidSpin StealthRock 
QuarkDrive,ChoiceScarf,Moonblast CloseCombat KnockOff Trick 
Levitate,Leftovers,ThunderWave HydroPump VoltSwitch Protect 
SupremeOverlord,Leftovers,KowtowCleave TeraBlast SuckerPunch SwordsDance 
Regenerator,HeavyDutyBoots,FutureSight Surf ChillyReception SlackOff 
SupremeOverlord,Leftovers,SwordsDance KowtowCleave IronHead SuckerPunch 
Multiscale,ChoiceBand,Outrage ExtremeSpeed Earthquake FirePunch 
QuarkDrive,ChoiceScarf,Moonblast CloseCombat KnockOff Trick 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
ThermalExchange,Leftovers,DragonDance Substitute IcicleCrash Earthquake 
Pressure,Leftovers,BodyPress BraveBird Roost Uturn 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
Protosynthesis,Leftovers,StealthRock Earthquake KnockOff RapidSpin 
QuarkDrive,ExpertBelt,Moonblast Taunt Psyshock KnockOff 
Unaware,HeavyDutyBoots,TorchSong Hex WillOWisp SlackOff 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
SupremeOverlord,Leftovers,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Illusion,ChoiceSpecs,GrassKnot FocusBlast HyperVoice ShadowBall 
Multiscale,HeavyDutyBoots,ExtremeSpeed Earthquake DragonDance Roost 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Regenerator,RedCard,Spore SludgeBomb GigaDrain FoulPlay 
PurifyingSalt,Leftovers,Curse Earthquake SaltCure Recover 
MagnetPull,ChoiceSpecs,Thunderbolt FlashCannon TeraBlast VoltSwitch 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick FocusBlast 
Protosynthesis,Leftovers,Earthquake StealthRock KnockOff RapidSpin 
Multiscale,HeavyDutyBoots,DragonDance ExtremeSpeed Earthquake Roost 
Protean,HeavyDutyBoots,KnockOff LowKick Uturn FlowerTrick 
Protosynthesis,EjectPack,StealthRock HeadlongRush CloseCombat RapidSpin 
Moxie,Leftovers,BulkUp AquaStep CloseCombat Roost 
SupremeOverlord,LumBerry,KowtowCleave IronHead SuckerPunch SwordsDance 
Multiscale,HeavyDutyBoots,DragonClaw FirePunch DragonDance Encore 
QuarkDrive,BoosterEnergy,SpiritBreak KnockOff SwordsDance Encore 
FlameBody,HeavyDutyBoots,QuiverDance FieryDance TeraBlast Psychic 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Technician,ChoiceBand,BulletSeed CloseCombat MachPunch RockTomb 
Infiltrator,Leftovers,DragonDarts Hex WillOWisp Substitute 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Regenerator,RedCard,FutureSight ChillyReception Surf SlackOff 
QuarkDrive,BoosterEnergy,Taunt Moonblast CalmMind Psyshock 
QuarkDrive,BoosterEnergy,DazzlingGleam SludgeWave FieryDance Psychic 
GoodasGold,EjectPack,ShadowBall MakeItRain Recover NastyPlot 
ToxicDebris,FocusSash,StealthRock Spikes MortalSpin DazzlingGleam 
SupremeOverlord,BlackGlasses,SwordsDance LowKick KowtowCleave SuckerPunch 
ThermalExchange,LoadedDice,DragonDance IcicleSpear GlaiveRush TeraBlast 
QuarkDrive,BoosterEnergy,Taunt Moonblast CalmMind Psyshock 
QuarkDrive,BoosterEnergy,DazzlingGleam SludgeWave FieryDance Psychic 
GoodasGold,EjectPack,ShadowBall MakeItRain Recover NastyPlot 
ToxicDebris,FocusSash,StealthRock Spikes MortalSpin DazzlingGleam 
SupremeOverlord,BlackGlasses,SwordsDance LowKick KowtowCleave SuckerPunch 
ThermalExchange,LoadedDice,DragonDance IcicleSpear Earthquake GlaiveRush 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Infiltrator,HeavyDutyBoots,WillOWisp Hex DracoMeteor Uturn 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Unaware,HeavyDutyBoots,Substitute TorchSong ShadowBall SlackOff 
Multiscale,ChoiceBand,Outrage ExtremeSpeed Earthquake FirePunch 
Technician,LoadedDice,BulletSeed MachPunch Bulldoze Spore 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong WillOWisp Hex SlackOff 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
Regenerator,ShucaBerry,Surf ToxicSpikes Toxic Recover 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
EarthEater,SitrusBerry,Spikes ShedTail IronHead BodyPress 
Protosynthesis,BoosterEnergy,DragonDance Crunch Taunt Acrobatics 
Infiltrator,DragonFang,DragonDance DragonDarts PhantomForce TeraBlast 
SupremeOverlord,LumBerry,SwordsDance LowKick KowtowCleave SuckerPunch 
FlameBody,HeavyDutyBoots,QuiverDance BugBuzz Flamethrower GigaDrain 
ToxicDebris,FocusSash,StealthRock EarthPower DazzlingGleam MortalSpin 
Pressure,Leftovers,BodyPress Uturn BraveBird Roost 
Overgrow,HeavyDutyBoots,KnockOff Spikes Uturn FlowerTrick 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
GoodasGold,ChoiceSpecs,ShadowBall MakeItRain Trick FocusBlast 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
RoughSkin,Leftovers,SwordsDance Earthquake DragonClaw Substitute 
Levitate,Leftovers,NastyPlot Substitute DarkPulse EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong Hex WillOWisp SlackOff 
QuarkDrive,ChoiceBand,CloseCombat ZenHeadbutt KnockOff SpiritBreak 
Regenerator,ShucaBerry,Surf ToxicSpikes Toxic Recover 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Protean,HeavyDutyBoots,KnockOff LowKick Uturn FlowerTrick 
QuarkDrive,BoosterEnergy,SwordsDance SpiritBreak Encore KnockOff 
Protosynthesis,BoosterEnergy,DragonDance Crunch Taunt Acrobatics 
RoughSkin,RockyHelmet,StealthRock Earthquake Spikes DragonTail 
HugePower,SitrusBerry,BellyDrum PlayRough AquaJet Encore 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot ThunderWave 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong ShadowBall Substitute SlackOff 
QuarkDrive,ChoiceBand,CloseCombat ZenHeadbutt KnockOff SpiritBreak 
Regenerator,ShucaBerry,Surf ToxicSpikes Toxic Recover 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
QuarkDrive,BoosterEnergy,CalmMind Moonblast AuraSphere Psyshock 
Protosynthesis,BoosterEnergy,DragonDance Crunch Taunt Acrobatics 
Prankster,LightClay,LightScreen Reflect Taunt HammerArm 
WeakArmor,Leftovers,AuraSphere CalmMind IronDefense StoredPower 
EarthEater,SitrusBerry,StealthRock ShedTail BodyPress IronHead 
QuarkDrive,BoosterEnergy,FieryDance DazzlingGleam Psychic SludgeWave 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
Levitate,Leftovers,EarthPower DracoMeteor NastyPlot Substitute 
QuarkDrive,BoosterEnergy,SwordsDance Liquidation CloseCombat KnockOff 
GoodasGold,AirBalloon,MakeItRain ShadowBall NastyPlot Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin BulkUp 
PurifyingSalt,Leftovers,StealthRock SaltCure Curse Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong Hex WillOWisp SlackOff 
QuarkDrive,ExpertBelt,Taunt KnockOff Moonblast CloseCombat 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
Infiltrator,Leftovers,WillOWisp Hex DragonDarts Substitute 
Levitate,Leftovers,Discharge HydroPump TeraBlast NastyPlot 
VesselofRuin,Leftovers,Ruination Spikes Whirlwind Earthquake 
GoodasGold,ChoiceSpecs,ShadowBall MakeItRain Trick Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Protosynthesis,Leftovers,Roar HydroSteam Substitute DragonBreath 
Torrent,ChoiceSpecs,HydroPump DarkPulse IceBeam WaterShuriken 
Pressure,Leftovers,BodyPress BraveBird Roost Uturn 
QuarkDrive,ChoiceScarf,Moonblast CloseCombat KnockOff Trick 
Regenerator,RedCard,ThunderWave ChillyReception Surf SlackOff 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong ShadowBall Substitute SlackOff 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
Regenerator,ShucaBerry,Surf ToxicSpikes Toxic Recover 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Levitate,Leftovers,NastyPlot Substitute DracoMeteor EarthPower 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
Unaware,HeavyDutyBoots,TorchSong ShadowBall Substitute SlackOff 
Overgrow,ChoiceBand,KnockOff SuckerPunch Uturn FlowerTrick 
Regenerator,AssaultVest,Surf IceBeam SludgeBomb Infestation 
GoodasGold,ChoiceScarf,ShadowBall MakeItRain Trick Recover 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin StealthRock 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Protosynthesis,BoosterEnergy,DragonDance JawLock Roost Acrobatics 
Infiltrator,HeavyDutyBoots,WillOWisp Hex DragonDarts Uturn 
Unaware,HeavyDutyBoots,Substitute TorchSong ShadowBall SlackOff 
Levitate,Leftovers,ThunderWave HydroPump VoltSwitch FoulPlay 
Levitate,Leftovers,NastyPlot DarkPulse Substitute EarthPower 
Protosynthesis,WiseGlasses,StealthRock EarthPower TeraBlast VoltSwitch 
Protosynthesis,Leftovers,Earthquake KnockOff RapidSpin BulkUp 
SupremeOverlord,Leftovers,SwordsDance IronHead KowtowCleave SuckerPunch 
Regenerator,RedCard,SludgeBomb GigaDrain FoulPlay Spore 
Blaze,HeavyDutyBoots,PyroBall Uturn WillOWisp CourtChange 
Technician,LoadedDice,Spore BulletSeed MachPunch TeraBlast 
QuarkDrive,ChoiceScarf,Moonblast Psyshock AuraSphere Thunderbolt 
Protean,HeavyDutyBoots,KnockOff SuckerPunch Uturn FlowerTrick 
Protosynthesis,ChoiceBand,Crunch DragonClaw Earthquake Uturn 
Pressure,Leftovers,BraveBird Uturn Roost Defog 
Unaware,Leftovers,Counter StealthRock Toxic Recover 
Unaware,Leftovers,Earthquake PoisonJab Curse Recover 
Unaware,Leftovers,WaveCrash Curse SleepTalk Rest 
FlameBody,HeavyDutyBoots,Flamethrower WillOWisp Defog Roost 
NaturalCure,HeavyDutyBoots,SeismicToss ShadowBall StealthRock SoftBoiled 
EarthEater,SitrusBerry,ShedTail BodyPress SleepTalk Rest 
Protosynthesis,BoosterEnergy,Acrobatics JawLock Taunt DragonDance 
Unaware,Leftovers,Earthquake PoisonJab Curse Recover 
