pkmn,ability,item,team,moves
Gholdengo,GoodasGold,CovertCloak,GreatTusk Kingambit Garganacl IronValiant Skeledirge ,MakeItRain Recover ShadowBall NastyPlot 
Skeledirge,Unaware,HeavyDutyBoots,GreatTusk Kingambit Garganacl IronValiant Gholdengo ,TorchSong WillOWisp SlackOff Hex 
ScreamTail,Protosynthesis,BoosterEnergy,Glimmora ZoroarkHisui Kingambit Ceruledge GreatTusk ,DazzlingGleam CalmMind Psyshock FireBlast 
Glimmora,ToxicDebris,FocusSash,ScreamTail ZoroarkHisui Kingambit Ceruledge GreatTusk ,StealthRock SludgeWave PowerGem EnergyBall 
ZoroarkHisui,Illusion,FocusSash,ScreamTail Glimmora Kingambit Ceruledge GreatTusk ,NastyPlot ShadowBall GrassKnot FocusBlast 
Kingambit,SupremeOverlord,LumBerry,ScreamTail Glimmora ZoroarkHisui Ceruledge GreatTusk ,SuckerPunch IronHead KowtowCleave SwordsDance 
Ceruledge,WeakArmor,FocusSash,ScreamTail Glimmora ZoroarkHisui Kingambit GreatTusk ,SwordsDance ShadowSneak BitterBlade DestinyBond 
GreatTusk,Protosynthesis,AssaultVest,ScreamTail Glimmora ZoroarkHisui Kingambit Ceruledge ,HeadlongRush IceSpinner KnockOff RapidSpin 
RoaringMoon,Protosynthesis,BoosterEnergy,Dragonite Meowscarada IronValiant Orthworm ZoroarkHisui ,DragonDance Acrobatics Earthquake Crunch 
Dragonite,Multiscale,HeavyDutyBoots,RoaringMoon Meowscarada IronValiant Orthworm ZoroarkHisui ,ExtremeSpeed Earthquake DragonDance Outrage 
Meowscarada,Overgrow,FocusSash,RoaringMoon Dragonite IronValiant Orthworm ZoroarkHisui ,Spikes Taunt KnockOff LeafStorm 
IronValiant,QuarkDrive,BoosterEnergy,RoaringMoon Dragonite Meowscarada Orthworm ZoroarkHisui ,CalmMind Moonblast ShadowBall Psyshock 
Orthworm,EarthEater,SitrusBerry,RoaringMoon Dragonite Meowscarada IronValiant ZoroarkHisui ,StealthRock ShedTail BodyPress IronHead 
ZoroarkHisui,Illusion,FocusSash,RoaringMoon Dragonite Meowscarada IronValiant Orthworm ,ShadowBall Flamethrower NastyPlot GrassKnot 
Orthworm,EarthEater,SitrusBerry,Meowscarada IronValiant Kingambit IronMoth RoaringMoon ,StealthRock ShedTail BodyPress IronHead 
Meowscarada,Overgrow,FocusSash,Orthworm IronValiant Kingambit IronMoth RoaringMoon ,Spikes Taunt KnockOff LeafStorm 
IronValiant,QuarkDrive,BoosterEnergy,Orthworm Meowscarada Kingambit IronMoth RoaringMoon ,CalmMind Moonblast AuraSphere Psyshock 
Kingambit,SupremeOverlord,LumBerry,Orthworm Meowscarada IronValiant IronMoth RoaringMoon ,SwordsDance IronHead KowtowCleave SuckerPunch 
IronMoth,QuarkDrive,BoosterEnergy,Orthworm Meowscarada IronValiant Kingambit RoaringMoon ,FieryDance DazzlingGleam Psychic SludgeWave 
RoaringMoon,Protosynthesis,BoosterEnergy,Orthworm Meowscarada IronValiant Kingambit IronMoth ,DragonDance Crunch Taunt Acrobatics 
RoaringMoon,Protosynthesis,BoosterEnergy,Dragonite Meowscarada IronValiant Orthworm ZoroarkHisui ,DragonDance Acrobatics Earthquake Crunch 
Dragonite,Multiscale,SilkScarf,RoaringMoon Meowscarada IronValiant Orthworm ZoroarkHisui ,Earthquake ExtremeSpeed DragonDance Encore 
Meowscarada,Overgrow,FocusSash,RoaringMoon Dragonite IronValiant Orthworm ZoroarkHisui ,Spikes Taunt KnockOff LeafStorm 
IronValiant,QuarkDrive,BoosterEnergy,RoaringMoon Dragonite Meowscarada Orthworm ZoroarkHisui ,CalmMind Moonblast ShadowBall Psyshock 
Orthworm,EarthEater,SitrusBerry,RoaringMoon Dragonite Meowscarada IronValiant ZoroarkHisui ,StealthRock ShedTail BodyPress IronHead 
ZoroarkHisui,Illusion,FocusSash,RoaringMoon Dragonite Meowscarada IronValiant Orthworm ,ShadowBall Flamethrower NastyPlot GrassKnot 
Kingambit,SupremeOverlord,HeavyDutyBoots,Baxcalibur Garganacl TingLu Dragapult Amoonguss ,LowKick KowtowCleave SuckerPunch IronHead 
Baxcalibur,ThermalExchange,HeavyDutyBoots,Kingambit Garganacl TingLu Dragapult Amoonguss ,SwordsDance IceShard Earthquake GlaiveRush 
Garganacl,PurifyingSalt,Leftovers,Kingambit Baxcalibur TingLu Dragapult Amoonguss ,SaltCure Curse Recover Earthquake 
TingLu,VesselofRuin,Leftovers,Kingambit Baxcalibur Garganacl Dragapult Amoonguss ,StealthRock Spikes Whirlwind Ruination 
Dragapult,Infiltrator,HeavyDutyBoots,Kingambit Baxcalibur Garganacl TingLu Amoonguss ,Hex DracoMeteor Uturn WillOWisp 
Amoonguss,Regenerator,HeavyDutyBoots,Kingambit Baxcalibur Garganacl TingLu Dragapult ,SludgeBomb GrassKnot Spore FoulPlay 
Hydreigon,Levitate,Leftovers,GreatTusk ChienPao Skeledirge Toxapex Gholdengo ,NastyPlot DarkPulse DracoMeteor FlashCannon 
GreatTusk,Protosynthesis,Leftovers,Hydreigon ChienPao Skeledirge Toxapex Gholdengo ,Earthquake StealthRock KnockOff RapidSpin 
ChienPao,SwordofRuin,HeavyDutyBoots,Hydreigon GreatTusk Skeledirge Toxapex Gholdengo ,IcicleCrash Crunch IceShard SacredSword 
Skeledirge,Unaware,Leftovers,Hydreigon GreatTusk ChienPao Toxapex Gholdengo ,TorchSong ShadowBall Substitute SlackOff 
Toxapex,Regenerator,RockyHelmet,Hydreigon GreatTusk ChienPao Skeledirge Gholdengo ,Surf ToxicSpikes Toxic Recover 
Gholdengo,GoodasGold,CovertCloak,Hydreigon GreatTusk ChienPao Skeledirge Toxapex ,ShadowBall MakeItRain NastyPlot Recover 
Hydreigon,Levitate,Leftovers,GreatTusk ChienPao Skeledirge Toxapex Gholdengo ,NastyPlot DarkPulse DracoMeteor FlashCannon 
GreatTusk,Protosynthesis,Leftovers,Hydreigon ChienPao Skeledirge Toxapex Gholdengo ,Earthquake StealthRock KnockOff RapidSpin 
ChienPao,SwordofRuin,ChoiceBand,Hydreigon GreatTusk Skeledirge Toxapex Gholdengo ,IcicleCrash Crunch IceShard SacredSword 
Skeledirge,Unaware,Leftovers,Hydreigon GreatTusk ChienPao Toxapex Gholdengo ,TorchSong ShadowBall Substitute SlackOff 
Toxapex,Regenerator,RockyHelmet,Hydreigon GreatTusk ChienPao Skeledirge Gholdengo ,Surf ToxicSpikes Toxic Recover 
Gholdengo,GoodasGold,CovertCloak,Hydreigon GreatTusk ChienPao Skeledirge Toxapex ,ShadowBall MakeItRain NastyPlot Recover 
Kingambit,SupremeOverlord,LumBerry,RoaringMoon Orthworm Glimmora Volcarona IronValiant ,SwordsDance LowKick KowtowCleave SuckerPunch 
RoaringMoon,Protosynthesis,BoosterEnergy,Kingambit Orthworm Glimmora Volcarona IronValiant ,DragonDance Crunch Taunt Acrobatics 
Orthworm,EarthEater,SitrusBerry,Kingambit RoaringMoon Glimmora Volcarona IronValiant ,Spikes ShedTail BodyPress IronHead 
Glimmora,ToxicDebris,FocusSash,Kingambit RoaringMoon Orthworm Volcarona IronValiant ,DazzlingGleam EarthPower MortalSpin StealthRock 
Volcarona,FlameBody,HeavyDutyBoots,Kingambit RoaringMoon Orthworm Glimmora IronValiant ,QuiverDance Flamethrower TeraBlast MorningSun 
IronValiant,QuarkDrive,BoosterEnergy,Kingambit RoaringMoon Orthworm Glimmora Volcarona ,CalmMind Moonblast ShadowBall Psyshock 
Gholdengo,GoodasGold,ChoiceScarf,ChienPao Hydreigon GreatTusk Volcarona Toxapex ,MakeItRain ShadowBall Recover Trick 
ChienPao,SwordofRuin,ChoiceBand,Gholdengo Hydreigon GreatTusk Volcarona Toxapex ,Crunch SuckerPunch IcicleCrash SacredSword 
Hydreigon,Levitate,Leftovers,Gholdengo ChienPao GreatTusk Volcarona Toxapex ,DarkPulse DracoMeteor FlashCannon NastyPlot 
GreatTusk,Protosynthesis,Leftovers,Gholdengo ChienPao Hydreigon Volcarona Toxapex ,Earthquake KnockOff RapidSpin StealthRock 
Volcarona,FlameBody,HeavyDutyBoots,Gholdengo ChienPao Hydreigon GreatTusk Toxapex ,FieryDance WillOWisp QuiverDance MorningSun 
Toxapex,Regenerator,CovertCloak,Gholdengo ChienPao Hydreigon GreatTusk Volcarona ,Infestation Toxic Haze Recover 
Slowking,Regenerator,HeavyDutyBoots,Kingambit Dragonite IronValiant GreatTusk Baxcalibur ,FutureSight Surf ChillyReception SlackOff 
Kingambit,SupremeOverlord,Leftovers,Slowking Dragonite IronValiant GreatTusk Baxcalibur ,SwordsDance KowtowCleave IronHead SuckerPunch 
Dragonite,Multiscale,ChoiceBand,Slowking Kingambit IronValiant GreatTusk Baxcalibur ,Outrage ExtremeSpeed Earthquake FirePunch 
IronValiant,QuarkDrive,ChoiceScarf,Slowking Kingambit Dragonite GreatTusk Baxcalibur ,Moonblast CloseCombat KnockOff Trick 
GreatTusk,Protosynthesis,Leftovers,Slowking Kingambit Dragonite IronValiant Baxcalibur ,Earthquake KnockOff RapidSpin StealthRock 
Baxcalibur,ThermalExchange,HeavyDutyBoots,Slowking Kingambit Dragonite IronValiant GreatTusk ,SwordsDance GlaiveRush Earthquake IceShard 
Dragapult,Infiltrator,Leftovers,RotomWash TingLu Gholdengo GreatTusk WalkingWake ,WillOWisp Hex DragonDarts Substitute 
RotomWash,Levitate,Leftovers,Dragapult TingLu Gholdengo GreatTusk WalkingWake ,Discharge HydroPump TeraBlast NastyPlot 
TingLu,VesselofRuin,Leftovers,Dragapult RotomWash Gholdengo GreatTusk WalkingWake ,Ruination Spikes Whirlwind Earthquake 
Gholdengo,GoodasGold,AirBalloon,Dragapult RotomWash TingLu GreatTusk WalkingWake ,MakeItRain ShadowBall NastyPlot Recover 
GreatTusk,Protosynthesis,Leftovers,Dragapult RotomWash TingLu Gholdengo WalkingWake ,Earthquake KnockOff RapidSpin StealthRock 
WalkingWake,Protosynthesis,ChoiceSpecs,Dragapult RotomWash TingLu Gholdengo GreatTusk ,HydroSteam Flamethrower DracoMeteor DragonPulse 
GreatTusk,Protosynthesis,Leftovers,Dragonite Cinderace Amoonguss Baxcalibur Kingambit ,StealthRock Earthquake RapidSpin KnockOff 
Dragonite,Multiscale,ChoiceBand,GreatTusk Cinderace Amoonguss Baxcalibur Kingambit ,Outrage ExtremeSpeed Earthquake FirePunch 
Cinderace,Blaze,HeavyDutyBoots,GreatTusk Dragonite Amoonguss Baxcalibur Kingambit ,PyroBall Uturn WillOWisp CourtChange 
Amoonguss,Regenerator,RedCard,GreatTusk Dragonite Cinderace Baxcalibur Kingambit ,SludgeBomb GigaDrain FoulPlay Spore 
Baxcalibur,ThermalExchange,ChoiceScarf,GreatTusk Dragonite Cinderace Amoonguss Kingambit ,GlaiveRush IcicleCrash Earthquake IcicleSpear 
Kingambit,SupremeOverlord,Leftovers,GreatTusk Dragonite Cinderace Amoonguss Baxcalibur ,SwordsDance IronHead KowtowCleave SuckerPunch 
Dragapult,Infiltrator,Leftovers,SandyShocks GreatTusk RotomWash Kingambit Cinderace ,Substitute DragonDarts Hex WillOWisp 
SandyShocks,Protosynthesis,WiseGlasses,Dragapult GreatTusk RotomWash Kingambit Cinderace ,StealthRock EarthPower TeraBlast VoltSwitch 
GreatTusk,Protosynthesis,Leftovers,Dragapult SandyShocks RotomWash Kingambit Cinderace ,Earthquake KnockOff RapidSpin BodyPress 
RotomWash,Levitate,Leftovers,Dragapult SandyShocks GreatTusk Kingambit Cinderace ,VoltSwitch HydroPump ThunderWave Protect 
Kingambit,SupremeOverlord,Leftovers,Dragapult SandyShocks GreatTusk RotomWash Cinderace ,SwordsDance IronHead KowtowCleave SuckerPunch 
Cinderace,Blaze,HeavyDutyBoots,Dragapult SandyShocks GreatTusk RotomWash Kingambit ,PyroBall Uturn WillOWisp CourtChange 
GreatTusk,Protosynthesis,Leftovers,ZoroarkHisui Kingambit Hydreigon Slowking Cinderace ,Earthquake KnockOff RapidSpin StealthRock 
ZoroarkHisui,Illusion,ChoiceSpecs,GreatTusk Kingambit Hydreigon Slowking Cinderace ,HyperVoice ShadowBall FocusBlast GrassKnot 
Kingambit,SupremeOverlord,Leftovers,GreatTusk ZoroarkHisui Hydreigon Slowking Cinderace ,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Hydreigon,Levitate,Leftovers,GreatTusk ZoroarkHisui Kingambit Slowking Cinderace ,NastyPlot Substitute DracoMeteor EarthPower 
Slowking,Regenerator,HeavyDutyBoots,GreatTusk ZoroarkHisui Kingambit Hydreigon Cinderace ,ThunderWave ChillyReception Surf SlackOff 
Cinderace,Libero,HeavyDutyBoots,GreatTusk ZoroarkHisui Kingambit Hydreigon Slowking ,PyroBall Uturn SuckerPunch CourtChange 
Dragapult,Infiltrator,HeavyDutyBoots,GreatTusk Cinderace Toxapex Baxcalibur Corviknight ,WillOWisp Hex DragonDarts Uturn 
GreatTusk,Protosynthesis,Leftovers,Dragapult Cinderace Toxapex Baxcalibur Corviknight ,Earthquake StealthRock KnockOff RapidSpin 
Cinderace,Blaze,HeavyDutyBoots,Dragapult GreatTusk Toxapex Baxcalibur Corviknight ,PyroBall Uturn WillOWisp CourtChange 
Toxapex,Regenerator,AssaultVest,Dragapult GreatTusk Cinderace Baxcalibur Corviknight ,Surf IceBeam SludgeBomb Infestation 
Baxcalibur,ThermalExchange,ChoiceBand,Dragapult GreatTusk Cinderace Toxapex Corviknight ,GlaiveRush IcicleCrash Earthquake IceShard 
Corviknight,Pressure,Leftovers,Dragapult GreatTusk Cinderace Toxapex Baxcalibur ,BodyPress Uturn BraveBird Roost 
Skeledirge,Unaware,HeavyDutyBoots,Kingambit Hydreigon Amoonguss Dragapult GreatTusk ,TorchSong ShadowBall EarthPower SlackOff 
Kingambit,SupremeOverlord,Leftovers,Skeledirge Hydreigon Amoonguss Dragapult GreatTusk ,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Hydreigon,Levitate,Leftovers,Skeledirge Kingambit Amoonguss Dragapult GreatTusk ,NastyPlot Substitute DarkPulse EarthPower 
Amoonguss,Regenerator,RedCard,Skeledirge Kingambit Hydreigon Dragapult GreatTusk ,Spore GrassKnot SludgeBomb FoulPlay 
Dragapult,Infiltrator,HeavyDutyBoots,Skeledirge Kingambit Hydreigon Amoonguss GreatTusk ,WillOWisp Hex DragonDarts Uturn 
GreatTusk,Protosynthesis,Leftovers,Skeledirge Kingambit Hydreigon Amoonguss Dragapult ,Earthquake StealthRock KnockOff RapidSpin 
Hydreigon,Levitate,Leftovers,Amoonguss GreatTusk IronValiant TingLu Gholdengo ,NastyPlot Substitute DracoMeteor EarthPower 
Amoonguss,Regenerator,RedCard,Hydreigon GreatTusk IronValiant TingLu Gholdengo ,GigaDrain SludgeBomb FoulPlay Spore 
GreatTusk,Protosynthesis,EjectPack,Hydreigon Amoonguss IronValiant TingLu Gholdengo ,HeadlongRush StealthRock RapidSpin CloseCombat 
IronValiant,QuarkDrive,ExpertBelt,Hydreigon Amoonguss GreatTusk TingLu Gholdengo ,Encore KnockOff Moonblast CloseCombat 
TingLu,VesselofRuin,Leftovers,Hydreigon Amoonguss GreatTusk IronValiant Gholdengo ,Earthquake Whirlwind Ruination Spikes 
Gholdengo,GoodasGold,ChoiceScarf,Hydreigon Amoonguss GreatTusk IronValiant TingLu ,ShadowBall MakeItRain Trick Recover 
Baxcalibur,ThermalExchange,LoadedDice,Mimikyu Orthworm IronValiant RoaringMoon Meowscarada ,DragonDance IcicleSpear FocusEnergy Earthquake 
Mimikyu,Disguise,LifeOrb,Baxcalibur Orthworm IronValiant RoaringMoon Meowscarada ,SwordsDance ShadowClaw PlayRough ShadowSneak 
Orthworm,EarthEater,SitrusBerry,Baxcalibur Mimikyu IronValiant RoaringMoon Meowscarada ,StealthRock ShedTail BodyPress IronHead 
IronValiant,QuarkDrive,BoosterEnergy,Baxcalibur Mimikyu Orthworm RoaringMoon Meowscarada ,Moonblast Psyshock CalmMind Taunt 
RoaringMoon,Protosynthesis,BoosterEnergy,Baxcalibur Mimikyu Orthworm IronValiant Meowscarada ,DragonDance Crunch Earthquake Acrobatics 
Meowscarada,Overgrow,FocusSash,Baxcalibur Mimikyu Orthworm IronValiant RoaringMoon ,Spikes Taunt KnockOff LeafStorm 
Dragonite,Multiscale,HeavyDutyBoots,ZoroarkHisui GreatTusk Cinderace Hatterene Kingambit ,DragonDance ExtremeSpeed Earthquake Encore 
ZoroarkHisui,Illusion,LifeOrb,Dragonite GreatTusk Cinderace Hatterene Kingambit ,ShadowBall HyperBeam GrassKnot LowKick 
GreatTusk,Protosynthesis,EjectPack,Dragonite ZoroarkHisui Cinderace Hatterene Kingambit ,HeadlongRush CloseCombat RapidSpin StealthRock 
Cinderace,Blaze,HeavyDutyBoots,Dragonite ZoroarkHisui GreatTusk Hatterene Kingambit ,PyroBall Uturn WillOWisp CourtChange 
Hatterene,MagicBounce,Leftovers,Dragonite ZoroarkHisui GreatTusk Cinderace Kingambit ,CalmMind DrainingKiss StoredPower Substitute 
Kingambit,SupremeOverlord,AirBalloon,Dragonite ZoroarkHisui GreatTusk Cinderace Hatterene ,KowtowCleave IronHead SuckerPunch SwordsDance 
Baxcalibur,ThermalExchange,LoadedDice,Mimikyu Orthworm IronValiant RoaringMoon Meowscarada ,DragonDance IcicleSpear TeraBlast GlaiveRush 
Mimikyu,Disguise,LifeOrb,Baxcalibur Orthworm IronValiant RoaringMoon Meowscarada ,SwordsDance ShadowClaw PlayRough ShadowSneak 
Orthworm,EarthEater,SitrusBerry,Baxcalibur Mimikyu IronValiant RoaringMoon Meowscarada ,StealthRock ShedTail BodyPress IronHead 
IronValiant,QuarkDrive,BoosterEnergy,Baxcalibur Mimikyu Orthworm RoaringMoon Meowscarada ,Moonblast Psyshock CalmMind Taunt 
RoaringMoon,Protosynthesis,BoosterEnergy,Baxcalibur Mimikyu Orthworm IronValiant Meowscarada ,DragonDance Crunch Earthquake Acrobatics 
Meowscarada,Overgrow,FocusSash,Baxcalibur Mimikyu Orthworm IronValiant RoaringMoon ,Spikes Taunt KnockOff LeafStorm 
Meowscarada,Overgrow,HeavyDutyBoots,Kingambit WalkingWake Gholdengo GreatTusk Dragonite ,KnockOff Spikes Uturn FlowerTrick 
Kingambit,SupremeOverlord,Leftovers,Meowscarada WalkingWake Gholdengo GreatTusk Dragonite ,SwordsDance IronHead KowtowCleave SuckerPunch 
WalkingWake,Protosynthesis,Leftovers,Meowscarada Kingambit Gholdengo GreatTusk Dragonite ,Roar HydroSteam Substitute DragonBreath 
Gholdengo,GoodasGold,AirBalloon,Meowscarada Kingambit WalkingWake GreatTusk Dragonite ,NastyPlot ShadowBall MakeItRain Recover 
GreatTusk,Protosynthesis,Leftovers,Meowscarada Kingambit WalkingWake Gholdengo Dragonite ,Earthquake KnockOff RapidSpin StealthRock 
Dragonite,Multiscale,ChoiceBand,Meowscarada Kingambit WalkingWake Gholdengo GreatTusk ,Outrage ExtremeSpeed Earthquake FirePunch 
Pelipper,Drizzle,ChoiceSpecs,Floatzel GreatTusk Dragapult Kingambit Amoonguss ,IceBeam Hurricane Surf Uturn 
Floatzel,SwiftSwim,ChoiceBand,Pelipper GreatTusk Dragapult Kingambit Amoonguss ,WaveCrash IceSpinner Liquidation AquaJet 
GreatTusk,Protosynthesis,Leftovers,Pelipper Floatzel Dragapult Kingambit Amoonguss ,Earthquake RapidSpin KnockOff StealthRock 
Dragapult,Infiltrator,ChoiceSpecs,Pelipper Floatzel GreatTusk Kingambit Amoonguss ,DracoMeteor ShadowBall Thunder Uturn 
Kingambit,SupremeOverlord,Leftovers,Pelipper Floatzel GreatTusk Dragapult Amoonguss ,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Amoonguss,Regenerator,EjectButton,Pelipper Floatzel GreatTusk Dragapult Kingambit ,FoulPlay Spore GigaDrain SludgeBomb 
RotomWash,Levitate,Leftovers,Skeledirge Meowscarada Dragapult GreatTusk Kingambit ,HydroPump VoltSwitch Protect ThunderWave 
Skeledirge,Unaware,HeavyDutyBoots,RotomWash Meowscarada Dragapult GreatTusk Kingambit ,TorchSong ShadowBall Substitute SlackOff 
Meowscarada,Protean,ChoiceBand,RotomWash Skeledirge Dragapult GreatTusk Kingambit ,KnockOff SuckerPunch Uturn FlowerTrick 
Dragapult,Infiltrator,HeavyDutyBoots,RotomWash Skeledirge Meowscarada GreatTusk Kingambit ,WillOWisp Hex DracoMeteor Uturn 
GreatTusk,Protosynthesis,Leftovers,RotomWash Skeledirge Meowscarada Dragapult Kingambit ,Earthquake KnockOff RapidSpin StealthRock 
Kingambit,SupremeOverlord,Leftovers,RotomWash Skeledirge Meowscarada Dragapult GreatTusk ,KowtowCleave SuckerPunch IronHead SwordsDance 
Hydreigon,Levitate,Leftovers,GreatTusk Skeledirge Meowscarada Toxapex Gholdengo ,NastyPlot Substitute DracoMeteor EarthPower 
GreatTusk,Protosynthesis,Leftovers,Hydreigon Skeledirge Meowscarada Toxapex Gholdengo ,Earthquake KnockOff RapidSpin StealthRock 
Skeledirge,Unaware,HeavyDutyBoots,Hydreigon GreatTusk Meowscarada Toxapex Gholdengo ,TorchSong WillOWisp Hex SlackOff 
Meowscarada,Overgrow,ChoiceBand,Hydreigon GreatTusk Skeledirge Toxapex Gholdengo ,KnockOff SuckerPunch Uturn FlowerTrick 
Toxapex,Regenerator,AssaultVest,Hydreigon GreatTusk Skeledirge Meowscarada Gholdengo ,Surf IceBeam SludgeBomb Infestation 
Gholdengo,GoodasGold,ChoiceScarf,Hydreigon GreatTusk Skeledirge Meowscarada Toxapex ,ShadowBall MakeItRain Trick Recover 
Orthworm,EarthEater,SitrusBerry,IronValiant Volcarona IronThorns GreatTusk Dragonite ,Spikes ShedTail BodyPress IronHead 
IronValiant,QuarkDrive,BoosterEnergy,Orthworm Volcarona IronThorns GreatTusk Dragonite ,SpiritBreak KnockOff SwordsDance Encore 
Volcarona,FlameBody,HeavyDutyBoots,Orthworm IronValiant IronThorns GreatTusk Dragonite ,QuiverDance Psychic GigaDrain Flamethrower 
IronThorns,QuarkDrive,LoadedDice,Orthworm IronValiant Volcarona GreatTusk Dragonite ,DragonDance Earthquake TeraBlast RockBlast 
GreatTusk,Protosynthesis,BoosterEnergy,Orthworm IronValiant Volcarona IronThorns Dragonite ,HeadlongRush KnockOff RapidSpin StealthRock 
Dragonite,Multiscale,HeavyDutyBoots,Orthworm IronValiant Volcarona IronThorns GreatTusk ,DragonDance ExtremeSpeed Earthquake Encore 
Toxapex,Regenerator,RedCard,IronValiant Volcarona GreatTusk Gholdengo RoaringMoon ,Surf Toxic Haze Recover 
IronValiant,QuarkDrive,WiseGlasses,Toxapex Volcarona GreatTusk Gholdengo RoaringMoon ,Moonblast Encore ShadowBall Psyshock 
Volcarona,FlameBody,HeavyDutyBoots,Toxapex IronValiant GreatTusk Gholdengo RoaringMoon ,FieryDance GigaDrain QuiverDance MorningSun 
GreatTusk,Protosynthesis,Leftovers,Toxapex IronValiant Volcarona Gholdengo RoaringMoon ,Earthquake StealthRock KnockOff RapidSpin 
Gholdengo,GoodasGold,AirBalloon,Toxapex IronValiant Volcarona GreatTusk RoaringMoon ,MakeItRain ShadowBall NastyPlot Recover 
RoaringMoon,Protosynthesis,ChoiceBand,Toxapex IronValiant Volcarona GreatTusk Gholdengo ,Crunch DragonClaw Earthquake Uturn 
IronValiant,QuarkDrive,ChoiceBand,Hydreigon GreatTusk Hatterene Toxapex Gholdengo ,SpiritBreak CloseCombat KnockOff ZenHeadbutt 
Hydreigon,Levitate,Leftovers,IronValiant GreatTusk Hatterene Toxapex Gholdengo ,NastyPlot Substitute DracoMeteor EarthPower 
GreatTusk,Protosynthesis,Leftovers,IronValiant Hydreigon Hatterene Toxapex Gholdengo ,Earthquake StealthRock KnockOff RapidSpin 
Hatterene,MagicBounce,Leftovers,IronValiant Hydreigon GreatTusk Toxapex Gholdengo ,Substitute CalmMind StoredPower DrainingKiss 
Toxapex,Regenerator,RedCard,IronValiant Hydreigon GreatTusk Hatterene Gholdengo ,Surf Haze Toxic Recover 
Gholdengo,GoodasGold,ChoiceScarf,IronValiant Hydreigon GreatTusk Hatterene Toxapex ,ShadowBall MakeItRain Trick Recover 
Greninja,Protean,ChoiceSpecs,Meowscarada Volcarona GreatTusk Gholdengo Toxapex ,HydroPump IceBeam DarkPulse Spikes 
Meowscarada,Overgrow,ChoiceBand,Greninja Volcarona GreatTusk Gholdengo Toxapex ,KnockOff SuckerPunch Uturn FlowerTrick 
Volcarona,FlameBody,HeavyDutyBoots,Greninja Meowscarada GreatTusk Gholdengo Toxapex ,QuiverDance Flamethrower TeraBlast MorningSun 
GreatTusk,Protosynthesis,Leftovers,Greninja Meowscarada Volcarona Gholdengo Toxapex ,Earthquake StealthRock KnockOff RapidSpin 
Gholdengo,GoodasGold,AirBalloon,Greninja Meowscarada Volcarona GreatTusk Toxapex ,MakeItRain ShadowBall NastyPlot Recover 
Toxapex,Regenerator,RedCard,Greninja Meowscarada Volcarona GreatTusk Gholdengo ,Surf Recover Toxic Haze 
Pelipper,Drizzle,DampRock,Floatzel GreatTusk WalkingWake Kingambit Amoonguss ,Roost Surf Uturn Hurricane 
Floatzel,SwiftSwim,ChoiceBand,Pelipper GreatTusk WalkingWake Kingambit Amoonguss ,WaveCrash IceSpinner Liquidation AquaJet 
GreatTusk,Protosynthesis,Leftovers,Pelipper Floatzel WalkingWake Kingambit Amoonguss ,Earthquake RapidSpin KnockOff StealthRock 
WalkingWake,Protosynthesis,BoosterEnergy,Pelipper Floatzel GreatTusk Kingambit Amoonguss ,HydroPump HydroSteam DracoMeteor Hurricane 
Kingambit,SupremeOverlord,Leftovers,Pelipper Floatzel GreatTusk WalkingWake Amoonguss ,SwordsDance TeraBlast KowtowCleave SuckerPunch 
Amoonguss,Regenerator,EjectButton,Pelipper Floatzel GreatTusk WalkingWake Kingambit ,FoulPlay Spore GigaDrain SludgeBomb 
Meowscarada,Overgrow,HeavyDutyBoots,Kingambit WalkingWake Gholdengo GreatTusk IronValiant ,KnockOff Spikes Uturn FlowerTrick 
Kingambit,SupremeOverlord,Leftovers,Meowscarada WalkingWake Gholdengo GreatTusk IronValiant ,SwordsDance IronHead KowtowCleave SuckerPunch 
WalkingWake,Protosynthesis,Leftovers,Meowscarada Kingambit Gholdengo GreatTusk IronValiant ,Roar HydroSteam Substitute DragonBreath 
Gholdengo,GoodasGold,AirBalloon,Meowscarada Kingambit WalkingWake GreatTusk IronValiant ,NastyPlot ShadowBall MakeItRain Recover 
GreatTusk,Protosynthesis,Leftovers,Meowscarada Kingambit WalkingWake Gholdengo IronValiant ,Earthquake KnockOff RapidSpin StealthRock 
IronValiant,QuarkDrive,ChoiceScarf,Meowscarada Kingambit WalkingWake Gholdengo GreatTusk ,Moonblast CloseCombat KnockOff Trick 
Orthworm,EarthEater,SitrusBerry,IronJugulis Dragapult Kingambit Volcarona Glimmora ,Spikes ShedTail IronHead BodyPress 
IronJugulis,QuarkDrive,BoosterEnergy,Orthworm Dragapult Kingambit Volcarona Glimmora ,Hurricane Flamethrower DarkPulse Taunt 
Dragapult,Infiltrator,Leftovers,Orthworm IronJugulis Kingambit Volcarona Glimmora ,DragonDance DragonDarts PhantomForce TeraBlast 
Kingambit,SupremeOverlord,LumBerry,Orthworm IronJugulis Dragapult Volcarona Glimmora ,SwordsDance IronHead KowtowCleave SuckerPunch 
Volcarona,FlameBody,HeavyDutyBoots,Orthworm IronJugulis Dragapult Kingambit Glimmora ,QuiverDance BugBuzz Flamethrower GigaDrain 
Glimmora,ToxicDebris,FocusSash,Orthworm IronJugulis Dragapult Kingambit Volcarona ,StealthRock EarthPower DazzlingGleam MortalSpin 
